Category,Subcategory,Scope,Rank,Player,Value,Context,IsActive
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",20,"Becca",2,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",20,"Jack C",2,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",20,"Brittany",2,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",24,"Jennie",1,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",25,"Brian",0,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",1,"Dan",11,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",1,"Rachel F",11,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",3,"Ryan",9,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",3,"Richie",9,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",5,"Austin",7,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",5,"Ashley",7,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",5,"Jack M",7,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",8,"Carly",6,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",8,"Emma",6,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",8,"Jack C",6,,false
"Most 3rd Places","Totals","All-Time (Reg and Post Season)",8,"Brittany",6,,false
